stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
3390BU27,,"Bestwood Road",,53.0113820033,-1.185699332,,,,,,
3390BU28,,"Bestwood Road",,53.011338694,-1.1859386222,,,,,,
3390BU29,,"Lawton Drive",,53.0123720319,-1.1898243081,,,,,,
3390BU30,,"Ventura Drive",,53.0109652394,-1.1904915423,,,,,,
3390BU31,,"Hucknall La, Morrisons",,53.0094232135,-1.1911016439,,,,,,
3390BU33,,"Squires Avenue",,53.0067803847,-1.1924327061,,,,,,
3390BU34,,"Merchant Street",,53.003383928,-1.195312542,,,,,,
3390BU35,,"Duke Street",,53.0024338619,-1.1970587915,,,,,,
3390BU36,,"Bulwell Church",,52.9997085426,-1.1941739024,,,,,,
3390BU37,,"Cantrell Road",,52.9980941884,-1.1933993423,,,,,,
3390BU38,,"Deptford Crescent",,52.9962325932,-1.1919589723,,,,,,
3390BU39,,Piccadilly,,52.9949098714,-1.190449055,,,,,,
3390BU40,,"Highbury Hospital",,52.9929270236,-1.1883705573,,,,,,
3390BU41,,"Bedford Grove",,52.9920192442,-1.1870765429,,,,,,
3390BU42,,"Catchems Corner",,52.9906949304,-1.1853434859,,,,,,
3390BU43,,"Gordon Street",,52.9885489847,-1.1844006586,,,,,,
3390BU44,,"St Albans Rd, Kersall Drive",,52.9959860039,-1.1808784084,,,,,,
3390BU45,,"Sellers Wood Road",,52.9975986695,-1.1972229642,,,,,,
3390BU46,,"Coventry Court",,52.9961052062,-1.1970420618,,,,,,
3390BU47,,Glenn's,,52.9940246476,-1.197780883,,,,,,
3390BU48,,"Leonard Street",,52.9920665055,-1.1980108325,,,,,,
3390BU49,,Headstocks,,52.9896110694,-1.2004845479,,,,,,
3390BU50,,Headstocks,,52.9901842178,-1.2001611214,,,,,,
3390BU51,,"Leonard Street",,52.9931183369,-1.1980211493,,,,,,
3390BU52,,"Coventry Court",,52.9951210181,-1.1977307725,,,,,,
3390BU53,,"Sellers Wood Road",,52.9972945758,-1.1974521003,,,,,,
3390BU54,,"St Albans Rd, Kersall Drive",,52.9959938635,-1.180714366,,,,,,
3390BU55,,Piccadilly,,52.9979764339,-1.1827330645,,,,,,
3390BU56,,"Logan Street",,53.0002380143,-1.1848062961,,,,,,
3390BU57,,"Cantrell Road",,53.0020743601,-1.1864853895,,,,,,
3390BU58,,"Bancroft Street",,53.0038266345,-1.1877042355,,,,,,
3390BU59,,"Bestwood Road",,53.0050565081,-1.1900953663,,,,,,
3390BU60,,"Carey Road",,53.0052387515,-1.1931022809,,,,,,
3390BU61,,"Carey Road",,53.0053429708,-1.1925638433,,,,,,
3390BU62,,"Bestwood Road",,53.0049703358,-1.1893220483,,,,,,
3390BU63,,"Bancroft Street",,53.0032293384,-1.1871193676,,,,,,
3390BU64,,"Cantrell Road",,53.0019644627,-1.1861894253,,,,,,
3390BU65,,"Logan Street",,52.9993320372,-1.1837803155,,,,,,
3390BU66,,Piccadilly,,52.9978574366,-1.1824224094,,,,,,
3390BU67,,"Hazel Street",,53.0036238335,-1.1975582896,,,,,,
3390BU68,,"Latham Street",,53.0045380785,-1.1984950914,,,,,,
3390BU69,,"Rock Street",,53.0064022649,-1.1989970785,,,,,,
3390BU70,,"Rock Street",,53.0068771382,-1.1987647428,,,,,,
3390BU71,,"Latham Street",,53.0046898752,-1.1983432566,,,,,,
3390BU72,,"Hazel Street",,53.0038588352,-1.1977476607,,,,,,
3390BU73,,"Crabtree Rd East",,52.9971545255,-1.1993469717,,,,,,
3390BU83,,"Bulwell, Morrisons Car Pk",,53.0089679206,-1.1902457284,,,,,,
3390BUT1,,"Duke Street",,53.0025074776,-1.1973107541,,,,,,
3390BW01,,"Hucknall Rd, Top Valley Way",,53.0028330971,-1.1804657144,,,,,,
3390BW02,,"Gala Way",,52.997465831,-1.1790773197,,,,,,
3390BW06,,"Gainsford Crescent",,52.9925354448,-1.1719898381,,,,,,
3390BW07,,"Teviot Road",,52.9944417127,-1.1759462907,,,,,,
3390BW08,,"Eardley Road",,52.9963982222,-1.1780843912,,,,,,
3390BW09,,"Gala Bingo",,52.9976806779,-1.1763465444,,,,,,
3390BW10,,"Southglade Leisure Centre",,52.9985257545,-1.1724712889,,,,,,
3390BW11,,"Morrell Bank",,52.9991739004,-1.1687337674,,,,,,
3390BW12,,"Morrell Bank",,52.9988040418,-1.1711249335,,,,,,
3390BW13,,"Southglade Leisure Centre",,52.9985144856,-1.1721436976,,,,,,
3390BW14,,"Gala Bingo",,52.9974870617,-1.1769462255,,,,,,
3390BW15,,"Eardley Road",,52.9962710484,-1.1778931115,,,,,,
3390BW16,,"Teviot Road",,52.9939211204,-1.1747643006,,,,,,
3390BW17,,"Gainsford Crescent",,52.9923780802,-1.1713373267,,,,,,
3390BW18,,"Riber Crescent",,52.9925667832,-1.1739111135,,,,,,
3390BW19,,"Gorse Court",,52.9947446939,-1.1781604754,,,,,,
3390BW20,,"Gorse Court",,52.9940237014,-1.1765948921,,,,,,
3390BW21,,"Riber Crescent",,52.9924462103,-1.173377078,,,,,,
3390BW22,,"Gainsford Close",,52.9936097318,-1.1700622733,,,,,,
3390BW23,,"Pavior Road",,52.9950583821,-1.1663991226,,,,,,
3390BW24,,"Carnwood Road",,52.9942211858,-1.1623925554,,,,,,
3390BW25,,"Arnold Rd, Landcroft Cres",,52.9945168955,-1.1584386167,,,,,,
3390BW26,,"Arnold Rd, Landcroft Cres",,52.9941183259,-1.1592806959,,,,,,
3390BW27,,"Carnwood Road",,52.9940760104,-1.1622016794,,,,,,
3390BW28,,"Pavior Road",,52.9949324264,-1.1676679687,,,,,,
3390BW29,,"Gainsford Close",,52.9933129123,-1.1700381652,,,,,,
3390BW30,,"Rigley Drive",,52.9999044205,-1.1794333998,,,,,,
3390C1,,"Broad Marsh, Collin St C1",,52.9496809902,-1.1500959593,,,,,,
3390C2,,"Broad Marsh, Collin St C2",,52.9496311532,-1.149412294,,,,,,
3390C3,,"Broad Marsh, Collin St C3",,52.9496565207,-1.1491885436,,,,,,
3390C4,,"Broad Marsh, Collin St C4",,52.94967258,-1.148920325,,,,,,
3390C9,,"Broad Marsh, Maid Marian Way C9",,52.9494598998,-1.1506063294,,,,,,
3390CA10,,"Brentcliffe Avenue",,52.9647102505,-1.1154232652,,,,,,
3390CA11,,"Comery Avenue",,52.9631507786,-1.1184773923,,,,,,
3390CA12,,"Porchester Road",,52.9626198712,-1.1196196773,,,,,,
3390CA13,,"Comery Avenue",,52.963844898,-1.1175253053,,,,,,
3390CC04,,"Derby Rd, Canning Circus",,52.9551992635,-1.1638610181,,,,,,
3390CC05,,"Derby Rd, Canning Circus",,52.9553168437,-1.1639629491,,,,,,
3390CC06,,"Ilkeston Rd, Canning Circus",,52.9559111163,-1.1641003477,,,,,,
3390CC07,,"Ilkeston Rd, Canning Circus",,52.9559950315,-1.1632502457,,,,,,
3390CC08,,"Alfreton Rd, Canning Circus",,52.9568249895,-1.1636659227,,,,,,
3390CC11,,"Alfreton Rd, Canning Circus",,52.956658697,-1.1630290357,,,,,,
3390CI01,,"Cinderhill Rd, Phoenix Pk",,52.9878557698,-1.2028110272,,,,,,
3390CI02,,"Broxtowe Lane",,52.9806786179,-1.1942747128,,,,,,
3390CI03,,"Llanberis Grove",,52.9792843207,-1.1928112768,,,,,,
3390CI04,,"Bar Lane",,52.9781362325,-1.1918646037,,,,,,
3390CI05,,"Llanberis Grove",,52.979548821,-1.1933723115,,,,,,
3390CI06,,"Mill Street",,52.9832515682,-1.1879560496,,,,,,
3390CI07,,"Basford Hall College",,52.9829099301,-1.1919096058,,,,,,
3390CI08,,"Nuthall Road",,52.9821530023,-1.1942919747,,,,,,
3390CI09,,"Broxtowe Lane",,52.9828391183,-1.1960517047,,,,,,
3390CI10,,"Basford Hall College",,52.9843117099,-1.1984672179,,,,,,
3390CI11,,"Nuthall Rd, Cinderhill Island",,52.9859273769,-1.2021166179,,,,,,
3390CI12,,"Nuthall Rd, Cinderhill Island",,52.9860422262,-1.2018165827,,,,,,
3390CI13,,"Basford Hall College",,52.9842709366,-1.1977529945,,,,,,
3390CI14,,"Nuthall Road",,52.9822884322,-1.194378824,,,,,,
3390CI15,,"Basford Hall College",,52.9833532344,-1.1896819715,,,,,,
3390CI16,,"Mill Street",,52.9840321252,-1.1877328828,,,,,,
3390CI17,,"Greenwich Avenue",,52.985536918,-1.1908923694,,,,,,
3390CI18,,"Christina Avenue",,52.9870655555,-1.1949305145,,,,,,
3390CI19,,"Sycamore Rise",,52.9873749585,-1.1968166118,,,,,,
3390CI20,,"Bagnall Rd, Tricornia Dr",,52.9887955097,-1.1995164061,,,,,,
3390CI21,,"Bagnall Rd, Tricornia Dr",,52.9884840899,-1.1986581463,,,,,,
3390CI22,,"Sycamore Rise",,52.9874080946,-1.1963988966,,,,,,
3390CI23,,"Christina Avenue",,52.9870445535,-1.194484015,,,,,,
3390CI24,,"Greenwich Avenue",,52.9855263083,-1.1906542345,,,,,,
